id,sku,name,description,brand,category,price,cost,weight,dimensions,stock_quantity,created_at,updated_at,manufacturer_part_number,vendor_codes,map_price,msrp,status,product_type,unit_of_measurement,upc,has_map_policy,drop_ship_eligible,is_active,source_vendor,pricing_rule_id,computed_price,margin_percent,last_priced_at,slug,is_discontinued,product_features,oem_part_number,country_of_origin
1955830,75-9095S,Vortek Air II Jackets,,SCORPION EXO,Jackets,230.95,150.68,3.310,,0,2026-04-07 22:36:10.185959,2026-04-07 23:06:38.983088,,,,,NEW,Jackets,,,f,f,t,wps,,,,,vortek-air-ii-jackets-75-9095s,f,"<ul><li>Integrated 600D polyester reinforcements at key impact points (shoulders, elbows, and lower back)</li><li>Abrasion resistant chassis 2-ply ballistic polyester mesh outer shell</li><li>Large hole mesh panels for improved airflow</li><li>Low profile, neoprene finished collar provides maximum rider mobility and comfort</li><li>Breathable/flexible Rheon CE Level 1 armor at shoulders and elbows, back protector pocket for optional Rheon CE armor</li><li>4 pockets: 1 Exterior Phone pocket, 2 hand warmer pockets, 1 internal utility pocket</li><li>Zippered cuffs</li><li>Dark Reflective rear logo</li><li>Multi-point adjustments at the hips, and biceps</li><li>Integrated action-back panels increase rider mobility and comfort while decreasing fatigue</li><li>Reliable, smooth, snag-free YKK® zippers</li><li>Forearm and waist adjustability for optimal fit</li><li>Button belt loop for pant attachment</li><li>Removable, full-sleeve, zip-in 100% Waterproof liner</li><li>1 Year Warranty</li></ul>",,
1955829,75-9095M,Vortek Air II Jackets,,SCORPION EXO,Jackets,230.95,150.68,3.310,,0,2026-04-07 22:36:10.185959,2026-04-07 23:06:38.983088,,,,,NEW,Jackets,,,f,f,t,wps,,,,,vortek-air-ii-jackets-75-9095m,f,"<ul><li>Integrated 600D polyester reinforcements at key impact points (shoulders, elbows, and lower back)</li><li>Abrasion resistant chassis 2-ply ballistic polyester mesh outer shell</li><li>Large hole mesh panels for improved airflow</li><li>Low profile, neoprene finished collar provides maximum rider mobility and comfort</li><li>Breathable/flexible Rheon CE Level 1 armor at shoulders and elbows, back protector pocket for optional Rheon CE armor</li><li>4 pockets: 1 Exterior Phone pocket, 2 hand warmer pockets, 1 internal utility pocket</li><li>Zippered cuffs</li><li>Dark Reflective rear logo</li><li>Multi-point adjustments at the hips, and biceps</li><li>Integrated action-back panels increase rider mobility and comfort while decreasing fatigue</li><li>Reliable, smooth, snag-free YKK® zippers</li><li>Forearm and waist adjustability for optimal fit</li><li>Button belt loop for pant attachment</li><li>Removable, full-sleeve, zip-in 100% Waterproof liner</li><li>1 Year Warranty</li></ul>",,
1955828,75-9094S,Vortek Air II Jackets,,SCORPION EXO,Jackets,230.95,150.68,3.310,,0,2026-04-07 22:36:10.185959,2026-04-07 23:06:38.983088,,,,,NEW,Jackets,,,f,f,t,wps,,,,,vortek-air-ii-jackets-75-9094s,f,"<ul><li>Integrated 600D polyester reinforcements at key impact points (shoulders, elbows, and lower back)</li><li>Abrasion resistant chassis 2-ply ballistic polyester mesh outer shell</li><li>Large hole mesh panels for improved airflow</li><li>Low profile, neoprene finished collar provides maximum rider mobility and comfort</li><li>Breathable/flexible Rheon CE Level 1 armor at shoulders and elbows, back protector pocket for optional Rheon CE armor</li><li>4 pockets: 1 Exterior Phone pocket, 2 hand warmer pockets, 1 internal utility pocket</li><li>Zippered cuffs</li><li>Dark Reflective rear logo</li><li>Multi-point adjustments at the hips, and biceps</li><li>Integrated action-back panels increase rider mobility and comfort while decreasing fatigue</li><li>Reliable, smooth, snag-free YKK® zippers</li><li>Forearm and waist adjustability for optimal fit</li><li>Button belt loop for pant attachment</li><li>Removable, full-sleeve, zip-in 100% Waterproof liner</li><li>1 Year Warranty</li></ul>",,
1955827,75-9094M,Vortek Air II Jackets,,SCORPION EXO,Jackets,230.95,150.68,3.310,,0,2026-04-07 22:36:10.185959,2026-04-07 23:06:38.983088,,,,,NEW,Jackets,,,f,f,t,wps,,,,,vortek-air-ii-jackets-75-9094m,f,"<ul><li>Integrated 600D polyester reinforcements at key impact points (shoulders, elbows, and lower back)</li><li>Abrasion resistant chassis 2-ply ballistic polyester mesh outer shell</li><li>Large hole mesh panels for improved airflow</li><li>Low profile, neoprene finished collar provides maximum rider mobility and comfort</li><li>Breathable/flexible Rheon CE Level 1 armor at shoulders and elbows, back protector pocket for optional Rheon CE armor</li><li>4 pockets: 1 Exterior Phone pocket, 2 hand warmer pockets, 1 internal utility pocket</li><li>Zippered cuffs</li><li>Dark Reflective rear logo</li><li>Multi-point adjustments at the hips, and biceps</li><li>Integrated action-back panels increase rider mobility and comfort while decreasing fatigue</li><li>Reliable, smooth, snag-free YKK® zippers</li><li>Forearm and waist adjustability for optimal fit</li><li>Button belt loop for pant attachment</li><li>Removable, full-sleeve, zip-in 100% Waterproof liner</li><li>1 Year Warranty</li></ul>",,
1955826,75-9093S,Vortek Air II Jackets,,SCORPION EXO,Jackets,230.95,150.68,3.310,,0,2026-04-07 22:36:10.185959,2026-04-07 23:06:38.983088,,,,,NEW,Jackets,,,f,f,t,wps,,,,,vortek-air-ii-jackets-75-9093s,f,"<ul><li>Integrated 600D polyester reinforcements at key impact points (shoulders, elbows, and lower back)</li><li>Abrasion resistant chassis 2-ply ballistic polyester mesh outer shell</li><li>Large hole mesh panels for improved airflow</li><li>Low profile, neoprene finished collar provides maximum rider mobility and comfort</li><li>Breathable/flexible Rheon CE Level 1 armor at shoulders and elbows, back protector pocket for optional Rheon CE armor</li><li>4 pockets: 1 Exterior Phone pocket, 2 hand warmer pockets, 1 internal utility pocket</li><li>Zippered cuffs</li><li>Dark Reflective rear logo</li><li>Multi-point adjustments at the hips, and biceps</li><li>Integrated action-back panels increase rider mobility and comfort while decreasing fatigue</li><li>Reliable, smooth, snag-free YKK® zippers</li><li>Forearm and waist adjustability for optimal fit</li><li>Button belt loop for pant attachment</li><li>Removable, full-sleeve, zip-in 100% Waterproof liner</li><li>1 Year Warranty</li></ul>",,
1955825,75-9093M,Vortek Air II Jackets,,SCORPION EXO,Jackets,230.95,150.68,3.310,,0,2026-04-07 22:36:10.185959,2026-04-07 23:06:38.983088,,,,,NEW,Jackets,,,f,f,t,wps,,,,,vortek-air-ii-jackets-75-9093m,f,"<ul><li>Integrated 600D polyester reinforcements at key impact points (shoulders, elbows, and lower back)</li><li>Abrasion resistant chassis 2-ply ballistic polyester mesh outer shell</li><li>Large hole mesh panels for improved airflow</li><li>Low profile, neoprene finished collar provides maximum rider mobility and comfort</li><li>Breathable/flexible Rheon CE Level 1 armor at shoulders and elbows, back protector pocket for optional Rheon CE armor</li><li>4 pockets: 1 Exterior Phone pocket, 2 hand warmer pockets, 1 internal utility pocket</li><li>Zippered cuffs</li><li>Dark Reflective rear logo</li><li>Multi-point adjustments at the hips, and biceps</li><li>Integrated action-back panels increase rider mobility and comfort while decreasing fatigue</li><li>Reliable, smooth, snag-free YKK® zippers</li><li>Forearm and waist adjustability for optimal fit</li><li>Button belt loop for pant attachment</li><li>Removable, full-sleeve, zip-in 100% Waterproof liner</li><li>1 Year Warranty</li></ul>",,
1955824,177-0247,RSC Clutch Master,"The Brembo RCS radial master cylinder system gives riders adjustable, race‑inspired control for both braking and clutch operation. Its patented RCS mechanism—derived from MotoGP—lets you quickly switch between a stronger, more direct response or a smoother, more progressive feel, depending on conditions and rider preference.  The RCS brake master cylinder provides tunable braking sensitivity and lever feedback, while the RCS clutch master cylinder delivers refined modulation for smoother, more controlled engagement. Together, they create a unified system that enhances precision, adaptability, and overall rider feel.",BREMBO,Brakes,618.78,390.76,1.000,,0,2026-04-07 22:36:10.185959,2026-04-09 20:18:41.45347,,,,,NEW,Brakes,,,f,f,t,wps,,,,,rsc-clutch-master-177-0247,f,"<ul><li>Brake light and clutch safety switch are ""universal"" and will require modification to work with HD models.</li><li>Fluid reservoir and bracket sold separately.</li></ul>",,
1955823,177-0246,RSC Brake Master,"The Brembo RCS radial master cylinder system gives riders adjustable, race‑inspired control for both braking and clutch operation. Its patented RCS mechanism—derived from MotoGP—lets you quickly switch between a stronger, more direct response or a smoother, more progressive feel, depending on conditions and rider preference.  The RCS brake master cylinder provides tunable braking sensitivity and lever feedback, while the RCS clutch master cylinder delivers refined modulation for smoother, more controlled engagement. Together, they create a unified system that enhances precision, adaptability, and overall rider feel.",BREMBO,Brakes,618.78,390.76,1.000,,0,2026-04-07 22:36:10.185959,2026-04-09 20:18:41.45347,,,,,NEW,Brakes,,,f,f,t,wps,,,,,rsc-brake-master-177-0246,f,"<ul><li>Brake light and clutch safety switch are ""universal"" and will require modification to work with HD models.</li><li>Fluid reservoir and bracket sold separately.</li></ul>",,
1955822,177-0245,RSC Brake Master,"The Brembo RCS radial master cylinder system gives riders adjustable, race‑inspired control for both braking and clutch operation. Its patented RCS mechanism—derived from MotoGP—lets you quickly switch between a stronger, more direct response or a smoother, more progressive feel, depending on conditions and rider preference.  The RCS brake master cylinder provides tunable braking sensitivity and lever feedback, while the RCS clutch master cylinder delivers refined modulation for smoother, more controlled engagement. Together, they create a unified system that enhances precision, adaptability, and overall rider feel.",BREMBO,Brakes,618.78,390.76,1.000,,0,2026-04-07 22:36:10.185959,2026-04-09 20:18:41.45347,,,,,NEW,Brakes,,,f,f,t,wps,,,,,rsc-brake-master-177-0245,f,"<ul><li>Brake light and clutch safety switch are ""universal"" and will require modification to work with HD models.</li><li>Fluid reservoir and bracket sold separately.</li></ul>",,
1955821,29-2532,Magnetic Utility Strip,,TACK STRAP,Straps/Tie-Downs,34.99,22.99,0.500,,0,2026-04-07 22:36:10.185959,2026-04-07 23:06:38.983088,,,,,NEW,Straps/Tie-Downs,,,f,f,t,wps,,,,,magnetic-utility-strip-29-2532,f,"<ul><li>Low-proﬁle, scratch-safe way to keep tools and gear right where you want them.</li><li>Built from durable silicone with a soft foam backing, it protects your vehicle while strong magnets hold up to 10 lbs.</li><li>Use it on metal surfaces or apply it anywhere with the included paint-protection ﬁlm and adhesive.</li><li>Integrated hooks hang hats and gear, while ¼"" bit holes keep drivers and bits organized—perfect for trucks, trailers, garages, and camp setups.</li></ul>",,
1955820,29-2531,Elastic Soft Loop,,TACK STRAP,Straps/Tie-Downs,34.99,22.49,0.200,,0,2026-04-07 22:36:10.185959,2026-04-07 23:06:38.983088,,,,,NEW,Straps/Tie-Downs,,,f,f,t,wps,,,,,elastic-soft-loop-29-2531,f,"<ul><li>Reliably create instant, scratch-proof tie-down points.</li><li>Perfect for handlebars, axles, frames, racks, and anywhere metal hooks either don’t ﬁt or would cause damage.</li><li>They provide controlled stretch for a secure hold.</li></ul>",,
1955819,29-2530,Heavy Duty Power Strap,,TACK STRAP,Straps/Tie-Downs,44.99,29.49,1.800,,0,2026-04-07 22:36:10.185959,2026-04-07 23:06:38.983088,,,,,NEW,Straps/Tie-Downs,,,f,f,t,wps,,,,,heavy-duty-power-strap-29-2530,f,<ul><li>900LB break strength</li><li>300lb working load</li><li>Strong hitch loop ends</li><li>All weather durability</li><li>World's most versatile strap - 10 straps in 1</li><li>12ft length</li></ul>,,
1955818,29-2519,Power Strap,,TACK STRAP,Straps/Tie-Downs,39.99,25.99,0.320,,0,2026-04-07 22:36:10.185959,2026-04-07 23:06:38.983088,,,,,NEW,Straps/Tie-Downs,,,f,f,t,wps,,,,,power-strap-29-2519,f,"<ul><li>A new take on the compact adventure strap.</li><li>Conﬁdently secure up to 80 lbs, the Power Strap is designed with innovative hook-&-loop ends making a scratch proof anchor that can be quickly attached & removed.</li><li>Combine that with unique Power Elastic and a quick release buckle and you have a disruptive strap that you won’t want to adventure without.</li></ul>",,
1955817,29-2518,Power Strap,,TACK STRAP,Straps/Tie-Downs,36.99,23.99,0.300,,0,2026-04-07 22:36:10.185959,2026-04-07 23:06:38.983088,,,,,NEW,Straps/Tie-Downs,,,f,f,t,wps,,,,,power-strap-29-2518,f,"<ul><li>A new take on the compact adventure strap.</li><li>Conﬁdently secure up to 80 lbs, the Power Strap is designed with innovative hook-&-loop ends making a scratch proof anchor that can be quickly attached & removed.</li><li>Combine that with unique Power Elastic and a quick release buckle and you have a disruptive strap that you won’t want to adventure without.</li></ul>",,
1955816,29-2517,Power Strap,,TACK STRAP,Straps/Tie-Downs,29.99,20.49,0.280,,0,2026-04-07 22:36:10.185959,2026-04-07 23:06:38.983088,,,,,NEW,Straps/Tie-Downs,,,f,f,t,wps,,,,,power-strap-29-2517,f,"<ul><li>A new take on the compact adventure strap.</li><li>Conﬁdently secure up to 80 lbs, the Power Strap is designed with innovative hook-&-loop ends making a scratch proof anchor that can be quickly attached & removed.</li><li>Combine that with unique Power Elastic and a quick release buckle and you have a disruptive strap that you won’t want to adventure without.</li></ul>",,
1955815,82-96378,"4"" NH Slip-On Long",,COBRA,Exhaust,395.99,277.19,12.470,,0,2026-04-07 22:36:10.185959,2026-04-09 20:18:41.45347,,,,,NEW,Exhaust,,,f,f,t,wps,,,,,4-nh-slip-on-long-82-96378,f,"<ul><li>This larger NH Softail slip-on 4"" round Chromed or Black body.</li><li>4"" Billet Aluminum Black outer tip with distinctive machined dual grooves</li><li>Chrome version uses a chromed inner tip.</li><li>Inner tips echo the original NH form creating a strong visual resemblance and sonic similarity with the original versions.</li><li>The longer length reaches just past the rear disc and nearly to the rear rim.</li><li>This muffler also features 2.25-inch louvered cores to achieve their great sound and performance.</li><li>The Cobra team developed the new cores to deliver a deeper rumble.</li><li>The best part of the core design is that it produces good power on the stock 2-into-1 Softail head pipe.</li><li>Will create even more performance when the rider decides to build more power with either a larger engine or standard industry hop-up parts.</li><li>50-state legal</li><li>Made in the U.S.A.</li><li>Does not fit Breakouts or Fat Boys</li></ul>",,
1955814,82-96377,"4"" NH Slip-On Long",,COBRA,Exhaust,395.99,277.19,12.470,,0,2026-04-07 22:36:10.185959,2026-04-09 20:18:41.45347,,,,,NEW,Exhaust,,,f,f,t,wps,,,,,4-nh-slip-on-long-82-96377,f,"<ul><li>This larger NH Softail slip-on 4"" round Chromed or Black body.</li><li>4"" Billet Aluminum Black outer tip with distinctive machined dual grooves</li><li>Chrome version uses a chromed inner tip.</li><li>Inner tips echo the original NH form creating a strong visual resemblance and sonic similarity with the original versions.</li><li>The longer length reaches just past the rear disc and nearly to the rear rim.</li><li>This muffler also features 2.25-inch louvered cores to achieve their great sound and performance.</li><li>The Cobra team developed the new cores to deliver a deeper rumble.</li><li>The best part of the core design is that it produces good power on the stock 2-into-1 Softail head pipe.</li><li>Will create even more performance when the rider decides to build more power with either a larger engine or standard industry hop-up parts.</li><li>50-state legal</li><li>Made in the U.S.A.</li><li>Does not fit Breakouts or Fat Boys</li></ul>",,
1955813,82-96376,"4"" NH Slip-On Short",,COBRA,Exhaust,375.99,263.19,12.470,,0,2026-04-07 22:36:10.185959,2026-04-09 20:18:41.45347,,,,,NEW,Exhaust,,,f,f,t,wps,,,,,4-nh-slip-on-short-82-96376,f,"<ul><li>This larger NH Softail slip-on 4"" round Chromed or Black body.</li><li>4"" Billet Aluminum Black outer tip with distinctive machined dual grooves</li><li>Chrome version uses a chromed inner tip.</li><li>Inner tips echo the original NH form creating a strong visual resemblance and sonic similarity with the original versions.</li><li>The longer length reaches just past the rear disc and nearly to the rear rim.</li><li>This muffler also features 2.25-inch louvered cores to achieve their great sound and performance.</li><li>The Cobra team developed the new cores to deliver a deeper rumble.</li><li>The best part of the core design is that it produces good power on the stock 2-into-1 Softail head pipe.</li><li>Will create even more performance when the rider decides to build more power with either a larger engine or standard industry hop-up parts.</li><li>50-state legal</li><li>Made in the U.S.A.</li><li>Does not fit Breakouts or Fat Boys</li></ul>",,
1955812,82-96375,"4"" NH Slip-On Short",,COBRA,Exhaust,375.99,263.19,12.470,,0,2026-04-07 22:36:10.185959,2026-04-09 20:18:41.45347,,,,,NEW,Exhaust,,,f,f,t,wps,,,,,4-nh-slip-on-short-82-96375,f,"<ul><li>This larger NH Softail slip-on 4"" round Chromed or Black body.</li><li>4"" Billet Aluminum Black outer tip with distinctive machined dual grooves</li><li>Chrome version uses a chromed inner tip.</li><li>Inner tips echo the original NH form creating a strong visual resemblance and sonic similarity with the original versions.</li><li>The longer length reaches just past the rear disc and nearly to the rear rim.</li><li>This muffler also features 2.25-inch louvered cores to achieve their great sound and performance.</li><li>The Cobra team developed the new cores to deliver a deeper rumble.</li><li>The best part of the core design is that it produces good power on the stock 2-into-1 Softail head pipe.</li><li>Will create even more performance when the rider decides to build more power with either a larger engine or standard industry hop-up parts.</li><li>50-state legal</li><li>Made in the U.S.A.</li><li>Does not fit Breakouts or Fat Boys</li></ul>",,
1955811,582-06006,V-Twin Full Oil Change Kit M8,,SPECTRO,Oil Change Kit,83.00,58.10,11.000,,0,2026-04-07 22:36:10.185959,2026-04-07 23:06:38.983088,,,,,NEW,Oil Change Kit,,,f,f,t,wps,,,,,v-twin-full-oil-change-kit-m8-582-06006,f,<ul><li>5 qts Spectro Golden Synthetic Heavy Duty SAE 20W50</li><li>Black Oil Filter</li><li>Drain Plug O-Ring</li></ul>,,
